otu.names	W_stat	W_f	A_relAbund	B_relAbund	detected_wcrit	detected_0.9	detected_0.8	detected_0.7	detected_0.6	effSize_statcrit	effSize_0.9	effSize_0.8	effSize_0.7	effSize_0.6
14	Christensenellaceae.R.7.group	82	10.6427611069648	0.00136260908078049	0.0269519213665715	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
7	Bacteroides	78	53.7765797117423	0.386128433948301	0.172285571731971	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
79	X.Eubacterium..xylanophilum.group	62	10.1611499401369	0.000251608872420166	0.00295027687627497	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
28	Flavonifractor	62	9.23939933761064	0.00138769764793765	0.000887605097293619	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
43	Lachnospiraceae.UCG.004	52	7.43630533613954	0.00597031893959058	0.00330962327035093	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
36	Lachnoclostridium	51	12.5092943525857	0.0124173908061424	0.00683930568040546	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
5	Anaerostipes	30	5.23797957031314	0.0248832740578746	0.0217362317421505	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
100	f_Lachnospiraceae_ASV558	23	11.2191721873379	3.24323140947623e-05	0.000198299941980388	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
15	Clostridium.sensu.stricto.1	20	6.35080509410006	0.000450022430072772	0.00428670450441656	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
64	Subdoligranulum	17	9.49350586024531	0.020987955184639	0.0519768270268839	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
24	Escherichia.Shigella	17	4.01027363825831	0.00100671637354874	0.000226201360531146	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
109	f_UCG.010_ASV245	13	5.71674178458742	3.11517745608379e-06	0.00189287769869843	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
102	f_NA_ASV156	12	6.00854126619508	0	0.000723986569539694	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
49	Monoglobus	10	2.86077981683832	0.00639286739837272	0.00331243644258987	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1	Adlercreutzia	9	7.44759809738566	6.08619571550327e-05	0.000343259664705116	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
104	f_NA_ASV516	8	4.66333476782989	5.87759900080817e-06	0.000127720304414083	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
88	f_Lachnospiraceae_ASV239	7	2.04265730271563	0.000628362105042754	0.000584067425086004	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
48	Methanobrevibacter	6	5.24780171556777	0	0.00392092440926076	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
