"subject_id"	"Agathobacter"	"Blautia"	"CAG.56"	"Colidextribacter"	"Flavonifractor"	"Incertae.Sedis"	"Lachnospiraceae.NK4A136.group"	"Turicibacter"	"UCG.003"	"X.Eubacterium..fissicatena.group"	"X.Eubacterium..xylanophilum.group"	"X.Ruminococcus..gauvreauii.group"	"X.Ruminococcus..gnavus.group"	"f_Erysipelotrichaceae_ASV487"	"f_NA_ASV516"	"f_UCG.010_ASV667"	"Holdemania"	"Ruminococcus"	"Subdoligranulum"	"Alistipes"	"Bifidobacterium"	"Collinsella"	"Faecalibacterium"	"NK4A214.group"	"Roseburia"
"BSS003"	899	3033	73	23	2	33	65	29	76	6	67	125	0	0	0	6	4	356	192	170	0	64	1715	29	144
"BSS005"	677	5206	0	29	47	51	18	65	0	0	7	375	235	0	0	0	0	203	220	1020	2763	0	2405	0	127
"BSS006"	1152	2970	0	35	56	17	82	11	0	0	23	122	32	6	0	0	5	1	298	1263	0	0	1605	49	481
"BSS007"	1633	3712	455	46	5	19	35	23	110	9	376	91	0	9	14	0	5	1725	1130	359	26	31	2868	40	269
"BSS009"	452	2668	36	12	10	24	310	73	124	7	77	85	5	52	0	0	2	508	3391	1152	148	204	769	73	260
"BSS013"	468	830	0	40	0	20	37	0	114	1	56	118	2	1	2	15	0	89	326	27	13	9	2358	11	293
"BSS015"	2760	1424	94	115	4	302	696	43	155	17	225	226	0	25	8	22	1	414	655	496	264	89	1189	81	619
"BSS017"	1771	4087	332	37	87	14	22	39	0	5	1	203	52	0	0	0	14	2	44	132	397	49	3305	0	285
"BSS021"	1808	763	0	29	6	4	50	0	275	3	65	25	1	0	1	13	3	650	628	1097	1445	39	937	386	283
"BSS023"	158	1068	0	20	23	14	8	0	0	0	0	0	30	0	0	0	0	14	819	140	978	0	2821	0	74
"BSS024"	934	1790	34	67	2	111	552	0	118	19	7	261	0	0	0	6	0	315	460	347	70	103	474	239	603
"BSS029"	177	1509	275	69	34	0	25	1	32	0	0	47	21	0	0	0	1	1	265	327	207	103	677	5	1083
"BSS030"	1062	1865	60	42	4	43	91	72	74	0	38	47	0	30	6	0	5	2372	1849	1032	2367	77	2800	79	203
"BSS032"	32	4171	0	11	37	609	36	1	29	0	0	0	55	0	0	0	0	30	143	2375	189	0	3368	0	73
"BSS035"	574	854	248	0	0	0	20	0	0	0	0	0	14	0	0	0	0	2	391	0	5157	196	1332	0	148
"BSS036"	1093	2523	53	20	24	20	210	11	0	1	51	68	7	0	0	0	0	1123	1774	551	24	26	2048	106	90
"BSS039"	377	1545	3	28	1	313	20	137	77	9	89	107	0	26	0	0	1	1675	697	405	1217	122	2215	36	115
"BSS040"	112	1833	1	58	88	117	28	0	0	6	0	1	0	0	0	0	1	148	576	5711	3794	322	391	108	62
"BSS041"	1718	3916	187	9	23	24	82	0	29	0	0	79	1	0	12	0	4	207	627	535	49	135	1699	5	222
"BSS043"	2008	2416	0	20	8	15	213	0	73	0	0	0	3	0	0	0	5	4	196	848	407	19	1324	127	508
"BSS046"	2315	2496	55	47	2	24	58	43	158	0	114	9	14	0	0	2	1	787	1338	380	436	18	2395	51	328
"BSS047"	1513	1291	172	0	242	1	350	1	1	0	0	0	22	0	0	0	0	1	200	720	2689	130	552	0	278
"BSS052"	2288	1966	0	29	8	5	26	9	22	1	0	85	0	0	0	0	6	1	658	292	256	113	2840	0	627
"BSS054"	609	3163	0	10	18	9	234	2	0	3	37	114	13	0	0	0	0	2	2405	669	1	66	810	5	179
"BSS056"	1188	2215	163	8	6	13	158	27	86	1	15	119	5	0	0	2	1	18	667	511	86	61	2377	23	212
"BSS058"	3085	1864	0	66	90	119	51	67	2	0	0	45	177	1	0	2	11	165	660	111	2160	47	2421	37	278
"BSS059"	254	1924	189	2	9	7	7	0	0	2	0	161	2	0	0	0	1	135	499	218	236	0	1660	0	110
"BSS062"	1037	1644	21	28	34	129	85	2	7	2	0	225	1	0	16	16	3	481	447	202	1881	148	964	19	99
"BSS063"	365	1875	3	18	0	40	40	7	26	0	35	180	0	0	0	0	0	57	404	58	1454	154	639	230	328
"BSS064"	590	2276	15	13	17	51	155	2	59	0	19	18	0	0	0	0	1	1313	320	721	235	30	2223	161	117
"BSS065"	826	1962	241	32	23	128	36	4	33	4	0	1	81	18	11	0	4	27	537	725	870	284	694	50	190
"BSS066"	262	2332	201	53	51	41	88	68	39	0	0	87	24	12	0	0	3	140	380	986	733	0	4430	0	180
"BSS068"	477	4934	0	85	19	34	190	0	15	2	0	0	66	0	0	0	11	2	953	593	0	82	455	0	56
"BSS070"	1593	1984	163	27	3	59	49	16	69	6	21	195	0	0	7	3	3	460	186	1149	92	53	2977	28	332
"BSS072"	1058	2653	154	35	24	37	534	106	67	0	79	29	6	0	7	0	0	2236	649	1960	383	147	1372	0	203
"BSS077"	699	1319	96	26	9	19	175	12	22	4	12	100	0	11	0	18	2	1299	1590	1240	238	56	1774	22	303
"BSS080"	3176	3099	147	52	37	230	69	7	86	0	0	134	5	0	0	0	0	0	239	290	0	44	2219	32	149
"BSS083"	1390	4354	0	58	31	4	12	16	19	0	13	113	12	0	2	0	6	789	339	408	249	35	992	0	356
