Adlercreutzia	Agathobacter	Akkermansia	Alistipes	Anaerostipes	Angelakisella	Bacteroides	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyricimonas	CAG.56	Christensenellaceae.R.7.group	Clostridium.sensu.stricto.1	Colidextribacter	Collinsella	Coprococcus	DTU089	Dialister	Dorea	Erysipelatoclostridium	Erysipelotrichaceae.UCG.003	Escherichia.Shigella	Faecalibacterium	Family.XIII.AD3011.group	Family.XIII.UCG.001	Flavonifractor	Fusicatenibacter	GCA.900066575	Haemophilus	Holdemania	Incertae.Sedis	Intestinibacter	Intestinimonas	Lachnoclostridium	Lachnospira	Lachnospiraceae.AC2044.group	Lachnospiraceae.FCS020.group	Lachnospiraceae.ND3007.group	Lachnospiraceae.NK4A136.group	Lachnospiraceae.UCG.001	Lachnospiraceae.UCG.004	Lachnospiraceae.UCG.009	Lachnospiraceae.UCG.010	Lachnotalea	Marvinbryantia	Methanobrevibacter	Monoglobus	NK4A214.group	Odoribacter	Oscillibacter	Oscillospira	Oxalobacter	Parabacteroides	Parasutterella	Phascolarctobacterium	Prevotella_9	Romboutsia	Roseburia	Ruminococcus	Shuttleworthia	Streptococcus	Subdoligranulum	Sutterella	Terrisporobacter	Turicibacter	UBA1819	UCG.002	UCG.003	UCG.005	UCG.009	X.Eubacterium..eligens.group	X.Eubacterium..fissicatena.group	X.Eubacterium..hallii.group	X.Eubacterium..ruminantium.group	X.Eubacterium..siraeum.group	X.Eubacterium..ventriosum.group	X.Eubacterium..xylanophilum.group	X.Ruminococcus..gauvreauii.group	X.Ruminococcus..gnavus.group	X.Ruminococcus..torques.group	f_Christensenellaceae_ASV181	f_Coriobacteriales.Incertae.Sedis_ASV433	f_Eggerthellaceae_ASV319	f_Erysipelotrichaceae_ASV487	f_Lachnospiraceae_ASV117	f_Lachnospiraceae_ASV239	f_Lachnospiraceae_ASV259	f_Lachnospiraceae_ASV275	f_Lachnospiraceae_ASV283	f_Lachnospiraceae_ASV297	f_Lachnospiraceae_ASV326	f_Lachnospiraceae_ASV384	f_Lachnospiraceae_ASV398	f_Lachnospiraceae_ASV410	f_Lachnospiraceae_ASV514	f_Lachnospiraceae_ASV532	f_Lachnospiraceae_ASV555	f_Lachnospiraceae_ASV558	f_NA_ASV128	f_NA_ASV156	f_NA_ASV184	f_NA_ASV516	f_NA_ASV691	f_Oscillospiraceae_ASV141	f_Ruminococcaceae_ASV327	f_Ruminococcaceae_ASV610	f_UCG.010_ASV245	f_UCG.010_ASV667	f_.Eubacterium..coprostanoligenes.group_ASV203
BSS003	0	899	0	170	383	0	1735	0	43	3033	178	0	73	399	100	23	64	923	0	28	194	0	195	0	1715	14	0	2	459	28	49	4	33	0	4	208	79	16	46	135	65	13	115	1	24	5	163	31	80	29	27	3	5	11	142	31	138	17864	28	144	356	5	15	192	12	0	29	2	160	76	175	0	107	6	249	0	84	24	67	125	0	379	32	0	22	0	5	19	28	39	22	1	7	7	37	6	28	0	3	10	28	0	28	0	3	0	0	0	18	6	84
BSS005	0	677	0	1020	846	1	12264	2763	0	5206	119	0	0	0	10	29	0	111	1	239	497	23	454	5	2405	0	0	47	313	0	31	0	51	107	4	136	128	0	0	1	18	0	303	7	2	0	12	0	107	0	0	18	0	0	2285	2339	0	2	9	127	203	0	31	220	0	205	65	1	4	0	0	0	2	0	0	0	1	269	7	375	235	479	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0
BSS006	9	1152	1	1263	185	0	3648	0	86	2970	0	0	0	4	3	35	0	42	7	134	25	7	0	6	1605	0	0	56	159	0	0	5	17	59	13	38	86	0	0	54	82	116	35	4	6	0	3	0	33	49	0	32	0	0	141	355	0	0	66	481	1	0	42	298	0	1	11	4	0	0	0	0	10	0	204	0	0	0	23	122	32	137	0	15	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	0	0
BSS007	15	1633	0	359	258	0	5019	26	164	3712	234	1	455	250	3	46	31	148	0	0	316	0	522	0	2868	2	19	5	1539	9	4	5	19	48	45	374	121	0	4	328	35	6	81	3	0	12	73	0	54	40	18	19	0	17	532	417	149	1	5	269	1725	35	86	1130	0	0	23	12	360	110	18	0	24	9	333	945	0	208	376	91	0	99	0	3	0	9	0	46	17	9	22	9	7	40	0	3	0	0	18	5	336	0	0	14	0	0	0	0	0	0	0
BSS009	20	452	102	1152	66	0	2338	148	157	2668	85	0	36	281	47	12	204	391	4	0	236	0	117	4	769	3	10	10	1066	5	0	2	24	16	6	61	172	9	11	58	310	0	23	2	13	2	75	0	3	73	16	15	4	0	96	7	0	1	14	260	508	0	13	3391	94	0	73	9	440	124	38	12	15	7	160	0	0	16	77	85	5	397	0	2	0	52	0	7	6	6	0	0	7	6	0	1	4	0	0	0	0	116	28	0	7	96	19	10	0	0	56
BSS013	0	468	2	27	9	4	90	13	7	830	326	0	0	174	28	40	9	236	0	0	312	0	22	0	2358	13	0	0	193	12	7	0	20	12	5	168	18	47	4	4	37	82	113	1	23	70	30	34	29	11	1	5	1	30	40	5	0	6132	23	293	89	61	4	326	1	20	0	2	606	114	89	20	120	1	286	44	198	13	56	118	2	172	5	0	68	1	0	8	17	0	8	0	8	4	0	12	51	0	7	7	0	0	32	2	13	0	0	0	5	15	0
BSS015	2	2760	782	496	230	0	3376	264	7	1424	328	5	94	509	153	115	89	462	14	0	212	0	163	10	1189	13	0	4	1387	11	0	1	302	46	44	364	143	3	8	148	696	95	96	0	18	7	9	128	176	81	42	49	13	6	727	24	6	1	202	619	414	0	62	655	359	1	43	5	418	155	227	2	30	17	264	1	6	88	225	226	0	254	28	0	68	25	29	45	30	11	14	13	9	8	4	4	2	0	3	4	55	5	2	8	3	63	1	1	14	22	0
BSS017	0	1771	0	132	1270	0	16742	397	164	4087	295	0	332	1	9	37	49	324	0	0	279	0	0	0	3305	5	0	87	931	0	9	14	14	47	38	486	3	0	26	158	22	2	196	3	0	0	3	0	117	0	43	25	0	0	267	0	0	3	576	285	2	0	14	44	350	0	39	11	4	0	0	0	0	5	481	2	1	0	1	203	52	38	0	0	0	0	25	10	0	31	0	0	0	4	2	0	0	17	0	0	0	0	0	0	0	36	25	0	0	0	0
BSS021	0	1808	139	1097	221	5	4820	1445	138	763	167	7	0	697	9	29	39	76	3	0	137	0	49	0	937	6	1	6	151	3	0	3	4	21	29	73	273	1	6	102	50	321	211	2	21	0	4	0	147	386	7	26	5	0	216	189	67	0	202	283	650	0	0	628	0	0	0	1	391	275	81	9	157	3	244	0	1	15	65	25	1	59	22	28	0	0	2	16	0	0	17	0	1	1	6	0	6	0	0	4	0	47	0	1	0	24	22	12	0	13	89
BSS023	0	158	0	140	770	0	4275	978	117	1068	121	0	0	6	20	20	0	85	0	77	20	2	16	0	2821	0	0	23	198	0	0	0	14	16	0	50	1	0	0	0	8	0	72	0	5	0	0	0	67	0	0	7	0	0	2306	160	0	1	5	74	14	0	11	819	0	0	0	0	1	0	0	0	48	0	0	0	0	0	0	0	30	39	0	0	0	0	0	1	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
BSS024	0	934	244	347	225	0	598	70	189	1790	84	0	34	202	0	67	103	355	4	0	110	0	79	3	474	83	0	2	417	8	1	0	111	1	3	201	77	57	6	150	552	0	63	0	33	4	58	140	112	239	30	8	0	6	195	2	148	6089	45	603	315	0	9	460	371	0	0	6	202	118	206	1	38	19	435	424	230	17	7	261	0	541	48	1	6	0	311	29	34	8	1	4	3	9	37	1	11	0	1	2	68	0	26	0	5	0	0	5	45	6	9
BSS029	3	177	1	327	322	0	8860	207	244	1509	118	0	275	3	0	69	103	149	0	0	394	0	214	19	677	1	0	34	440	0	52	1	0	1	0	660	1890	0	47	10	25	1	183	0	50	0	20	0	21	5	24	0	0	0	229	20	160	4	83	1083	1	0	37	265	962	0	1	1	40	32	8	0	1	0	277	0	0	20	0	47	21	858	0	0	0	0	0	33	12	6	0	0	9	10	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
BSS030	1	1062	0	1032	370	0	2828	2367	65	1865	79	0	60	349	44	42	77	24	2	152	442	3	24	16	2800	5	0	4	522	3	7	5	43	125	19	72	221	2	12	202	91	26	28	3	1	0	17	140	35	79	26	13	1	0	158	164	0	2	396	203	2372	0	7	1849	0	0	72	2	225	74	247	14	36	0	338	1	46	63	38	47	0	104	0	1	0	30	0	0	9	1	4	3	1	1	0	0	1	1	2	1	0	0	7	6	7	49	18	3	0	0	0
BSS032	2	32	0	2375	728	0	7867	189	180	4171	66	0	0	60	0	11	0	178	9	76	150	10	283	0	3368	0	5	37	524	3	0	0	609	28	8	220	45	0	1	71	36	26	43	15	20	0	24	0	855	0	21	51	0	0	630	249	0	1	43	73	30	0	4	143	0	0	1	12	132	29	10	0	44	0	0	0	2	6	0	0	55	99	0	0	0	0	0	9	15	0	18	29	41	3	0	1	0	0	5	0	1	0	0	0	7	60	0	5	0	0	0
BSS035	0	574	0	0	156	0	2379	5157	0	854	156	0	248	0	0	0	196	70	0	0	106	0	77	0	1332	0	0	0	650	8	162	0	0	4	0	75	178	0	71	68	20	0	99	0	1	0	14	0	16	0	0	0	0	0	21	0	0	0	0	148	2	0	147	391	0	0	0	0	0	0	0	0	7	0	126	0	0	26	0	0	14	316	0	0	0	0	2	2	12	0	7	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
BSS036	3	1093	68	551	116	18	1555	24	250	2523	59	0	53	252	269	20	26	285	13	1	211	1	65	1	2048	2	12	24	252	4	1	0	20	86	25	351	162	0	15	100	210	93	13	1	9	0	155	0	44	106	21	37	5	6	573	8	5	3	58	90	1123	0	18	1774	257	1	11	7	86	0	114	1	1	1	386	4	55	25	51	68	7	136	0	39	0	0	65	12	5	5	7	14	5	0	0	6	0	6	1	0	34	13	38	0	7	0	15	6	0	0	0
BSS039	1	377	1	405	264	4	1683	1217	90	1545	56	0	3	246	264	28	122	527	8	123	82	3	24	0	2215	10	0	1	477	0	1	1	313	160	5	55	24	7	25	226	20	35	3	0	1	7	35	230	5	36	35	10	1	0	520	162	0	0	495	115	1675	0	2	697	0	54	137	1	451	77	218	2	329	9	282	0	15	55	89	107	0	277	194	0	0	26	52	0	0	4	5	1	5	1	0	1	4	0	6	11	0	0	0	0	5	74	1	11	30	0	0
BSS040	23	112	0	5711	2304	2	1620	3794	0	1833	1	11	1	390	0	58	322	22	10	0	59	80	501	1	391	0	0	88	179	0	1	1	117	125	4	64	10	0	0	90	28	3	0	4	12	0	7	0	3	108	0	199	1	0	365	5	3	13	140	62	148	0	2	576	14	0	0	59	0	0	380	1	57	6	510	0	0	5	0	1	0	7	0	18	0	0	1	1	1	0	0	6	0	0	0	0	0	5	0	2	0	0	0	0	14	198	1	2	0	0	252
